mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/3	1/3	3/4	2	1		V2/iv		d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
1	1	5/12	5/12	3/4	2	1		VI/iv		d	i		VI/iv	VI				iv			M	1	1	-5, -1, -4		-5	-5
1	1	1/2	1/2	3/4	2	1		I/VI		d	i		I/VI	I				VI			M	1	1	-4, 0, -3		-4	-4
1	1	7/12	7/12	3/4	2	1		iv/VI		d	i		iv/VI	iv				VI			m	1	1	-5, -8, -4		-5	-5
1	1	2/3	2/3	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
2	2	0	0	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/6	1/6	3/4	2	1		i6(#6)		d	i		i6(#6)	i		6	#6				m	1	1	-3, 1, 0	3	0	-3
2	2	1/4	1/4	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
3	3	0	0	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	1/3	1/3	3/4	2	1		V+/III		d	i		V+/III	V	+			III			+	1	1	-2, 2, 6		-2	-2
3	3	5/12	5/12	3/4	2	1		I/III		d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
3	3	1/2	1/2	3/4	2	1		I+/VI		d	i		I+/VI	I	+			VI			+	1	1	-4, 0, 4		-4	-4
3	3	7/12	7/12	3/4	2	1		IV/VI		d	i		IV/VI	IV				VI			M	1	1	-5, -1, -4		-5	-5
3	3	2/3	2/3	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
4	4	0	0	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/6	1/6	3/4	2	1		V/V/III		d	i		V/V/III	V				V/III			M	1	1	-1, 3, 0		-1	-1
4	4	1/4	1/4	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
5	5	0	0	3/4	2	1		I/III		d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
5	5	1/3	1/3	3/4	2	1		V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
5	5	5/12	5/12	3/4	2	1		i/iv		d	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
5	5	1/2	1/2	3/4	2	1		V/#iii		d	i		V/#iii	V				#iii			M	1	1	5, 9, 6		5	5
5	5	7/12	7/12	3/4	2	1		i/#iii		d	i		i/#iii	i				#iii			m	1	1	4, 1, 5		4	4
5	5	2/3	2/3	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
6	6	0	0	3/4	2	1		I/III		d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
6	6	5/12	5/12	3/4	2	1		iv/III		d	i		iv/III	iv				III			m	1	1	-4, -7, -3		-4	-4
6	6	1/2	1/2	3/4	2	1		V/#iii		d	i		V/#iii	V				#iii			M	1	1	5, 9, 6		5	5
6	6	7/12	7/12	3/4	2	1		i/#iii		d	i		i/#iii	i				#iii			m	1	1	4, 1, 5		4	4
6	6	2/3	2/3	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
7	7	0	0	3/4	2	1		I/III		d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
7	7	1/6	1/6	3/4	2	1		I/VI		d	i		I/VI	I				VI			M	1	1	-4, 0, -3		-4	-4
7	7	1/4	1/4	3/4	2	1		IV/VI		d	i		IV/VI	IV				VI			M	1	1	-5, -1, -4		-5	-5
7	7	5/12	5/12	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
7	7	1/2	1/2	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	2/3	2/3	3/4	2	1		IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
8	8	0	0	3/4	2	1		V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
9	9	0	0	3/4	2	1		i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
9	9	1/3	1/3	3/4	2	1		V2/iv		d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
9	9	5/12	5/12	3/4	2	1		VI/iv		d	i		VI/iv	VI				iv			M	1	1	-5, -1, -4		-5	-5
9	9	1/2	1/2	3/4	2	1		I/VI		d	i		I/VI	I				VI			M	1	1	-4, 0, -3		-4	-4
9	9	7/12	7/12	3/4	2	1		iv/VI		d	i		iv/VI	iv				VI			m	1	1	-5, -8, -4		-5	-5
9	9	2/3	2/3	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
10	10	0	0	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
10	10	1/6	1/6	3/4	2	1		i6(#6)		d	i		i6(#6)	i		6	#6				m	1	1	-3, 1, 0	3	0	-3
10	10	1/4	1/4	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
11	11	0	0	3/4	2	1		I/III		d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
11	11	1/3	1/3	3/4	2	1		V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
11	11	5/12	5/12	3/4	2	1		i/iv		d	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
11	11	1/2	1/2	3/4	2	1		V/#iii		d	i		V/#iii	V				#iii			M	1	1	5, 9, 6		5	5
11	11	7/12	7/12	3/4	2	1		i/#iii		d	i		i/#iii	i				#iii			m	1	1	4, 1, 5		4	4
11	11	2/3	2/3	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
12	12	0	0	3/4	2	1		I/III		d	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
12	12	1/6	1/6	3/4	2	1		I6/III		d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
12	12	1/4	1/4	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
12	12	2/3	2/3	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
13	13	0	0	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
13	13	1/6	1/6	3/4	2	1		I/VI		d	i		I/VI	I				VI			M	1	1	-4, 0, -3		-4	-4
13	13	1/4	1/4	3/4	2	1		IV/VI		d	i		IV/VI	IV				VI			M	1	1	-5, -1, -4		-5	-5
13	13	1/3	1/3	3/4	2	1		V/VII		d	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
13	13	5/12	5/12	3/4	2	1		I/VII	v6	d	i		I/VII	I				VII			M	1	1	-2, 2, -1		-2	-2
13	13	1/2	1/2	3/4	2	1		#vii/iv		d	i		#vii/iv	#vii				iv			m	1	1	4, 1, 5		4	4
13	13	7/12	7/12	3/4	2	1		i6/iv		d	i		i6/iv	i		6		iv			m	1	1	-4, 0, -1		-1	-4
13	13	2/3	2/3	3/4	2	1		V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
14	14	0	0	3/4	2	1		i/iv		d	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
14	14	1/6	1/6	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
14	14	1/4	1/4	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
14	14	1/3	1/3	3/4	2	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
14	14	5/12	5/12	3/4	2	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	14	1/2	1/2	3/4	2	1		V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
14	14	7/12	7/12	3/4	2	1		i/iv		d	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
14	14	2/3	2/3	3/4	2	1		I/VI		d	i		I/VI	I				VI			M	1	1	-4, 0, -3		-4	-4
15	15	0	0	3/4	2	1		IV/VI		d	i		IV/VI	IV				VI			M	1	1	-5, -1, -4		-5	-5
15	15	1/6	1/6	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
15	15	1/4	1/4	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
15	15	5/12	5/12	3/4	2	1		#viio2		d	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
15	15	1/2	1/2	3/4	2	1		i43		d	i		i43	i		43					mm7	1	1	1, -2, 0, -3		0	1
15	15	2/3	2/3	3/4	2	1		#viio43(4)		d	i		#viio43(4)	#vii	o	43	4				o7	1	1	-1, -4, 5, -3		5	-1
16	16	0	0	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
16	16	1/6	1/6	3/4	2	1		bIIM7		d	i		bIIM7	bII	M	7					MM7	1	1	-5, -1, -4, 0		-5	-5
16	16	1/4	1/4	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
16	16	5/12	5/12	3/4	2	1		V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	1/2	1/2	3/4	2	1		i|PAC}		d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
